SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,March-7-2025,Condo/Co-op,5490 La Jolla Blvd Unit K213,La Jolla,CA,92037,1050000,0,1.0,La Jolla,719,77468,2005,,1460,620,Sold,,,https://www.redfin.com/CA/La-Jolla/5490-La-Jolla-Blvd-92037/unit-K213/home/6650753,SDMLS,250017347,N,Y,32.8120495,-117.2681046
PAST SALE,January-29-2025,Condo/Co-op,1115 Pearl St #4,La Jolla,CA,92037,974100,2,2.0,92037 - La Jolla,1343,,1985,,725,502,Sold,,,https://www.redfin.com/CA/La-Jolla/1115-Pearl-St-92037/unit-4/home/4912717,CRMLS,NDP2500480,N,Y,32.8406464,-117.2709872
PAST SALE,February-17-2025,Condo/Co-op,1001-Genter St Genter St Unit 6C,La Jolla,CA,92037,2550000,2,2.0,92037 - La Jolla,2094,,1966,,1218,1826,Sold,,,https://www.redfin.com/CA/La-Jolla/1001-Genter-St-92037/unit-6C/home/4914744,CRMLS,NDP2501133,N,Y,32.8366784,-117.2711939
PAST SALE,December-12-2024,Single Family Residential,2020 Soledad Ave,La Jolla,CA,92037,4400000,4,3.5,La Jolla,2072,,1980,,2124,,Sold,,,https://www.redfin.com/CA/La-Jolla/2020-Soledad-Ave-92037/home/6585302,SDMLS,240026252,N,Y,32.8479875,-117.2583801
PAST SALE,January-14-2025,Condo/Co-op,1645 Caminito Barlovento,La Jolla,CA,92037,1600000,2,2.0,92037 - La Jolla,1670,,1980,,958,583,Sold,,,https://www.redfin.com/CA/La-Jolla/1645-Caminito-Barlovento-92037/home/4941175,CRMLS,NDP2410391,N,Y,32.8223577,-117.2479381
PAST SALE,February-28-2025,Single Family Residential,2310 Calle De La Garza,La Jolla,CA,92037,9150000,5,6.5,La Jolla,5250,9810,2014,,1743,,Sold,,,https://www.redfin.com/CA/La-Jolla/2310-Calle-de-la-Garza-92037/home/4876061,SDMLS,250016920,N,Y,32.8580159,-117.2530956
PAST SALE,January-3-2025,Single Family Residential,546 Arenas St,La Jolla,CA,92037,1995000,2,2.0,La Jolla,915,,1929,,2180,,Sold,,,https://www.redfin.com/CA/La-Jolla/546-Arenas-St-92037/home/4914250,SDMLS,240026869,N,Y,32.8354574,-117.2767159
PAST SALE,February-25-2025,Condo/Co-op,745 Coast Blvd S Unit 3B,La Jolla,CA,92037,4497000,2,2.5,La Jolla,2336,8701,1999,,1925,1140,Sold,,,https://www.redfin.com/CA/La-Jolla/745-Coast-Blvd-S-92037/unit-3B/home/4906998,SDMLS,250017482,N,Y,32.8454728,-117.2777612
PAST SALE,January-30-2025,Condo/Co-op,6543 Caminito Catalan,La Jolla,CA,92037,1670000,3,3.0,La Jolla,1893,,1980,,882,1244,Sold,,,https://www.redfin.com/CA/La-Jolla/6543-Caminito-Catalan-92037/home/4924784,SDMLS,250001470,N,Y,32.8351466,-117.2455548
PAST SALE,,Single Family Residential,8373 El Paseo Grande,La Jolla,CA,92037,3200000,4,3.0,,1731,5249,1952,,1849,,,,,https://www.redfin.com/CA/La-Jolla/8373-El-Paseo-Grande-92037/home/4876015,,,N,Y,32.8582574,-117.2551749
PAST SALE,December-23-2024,Condo/Co-op,6333 La Jolla Blvd #369,La Jolla,CA,92037,865000,2,2.0,La Jolla,989,,1970,,875,446,Sold,,,https://www.redfin.com/CA/La-Jolla/6333-La-Jolla-Blvd-92037/unit-369/home/4918388,SDMLS,240026978,N,Y,32.8244889,-117.2758378
PAST SALE,February-27-2025,Single Family Residential,1791 Calle Delicada,La Jolla,CA,92037,2602000,3,2.0,La Jolla,2063,,1972,,1261,,Sold,,,https://www.redfin.com/CA/La-Jolla/1791-Calle-Delicada-92037/home/4943911,SDMLS,250017616,N,Y,32.8212088,-117.2442208
PAST SALE,February-13-2025,Single Family Residential,5580 Soledad Mountain Rd,La Jolla,CA,92037,2035000,3,2.0,92037 - La Jolla,1792,10100,1962,,1136,,Sold,,,https://www.redfin.com/CA/La-Jolla/5580-Soledad-Mountain-Rd-92037/home/4940752,CRMLS,NDP2500213,N,Y,32.8216615,-117.2345212
PAST SALE,February-25-2025,Condo/Co-op,4175 Executive Dr Unit G407,La Jolla,CA,92037,910000,2,2.0,92037 - La Jolla,1102,,2000,,826,677,Sold,,,https://www.redfin.com/CA/La-Jolla/4175-Executive-Dr-92037/unit-G407/home/6650593,CRMLS,NDP2500924,N,Y,32.874698,-117.2163703
PAST SALE,February-20-2025,Single Family Residential,2223 Calle Guaymas,La Jolla,CA,92037,4425000,5,2.5,La Jolla,3280,20792,1974,,1349,,Sold,,,https://www.redfin.com/CA/La-Jolla/2223-Calle-Guaymas-92037/home/4943278,SDMLS,250016943,N,Y,32.8260245,-117.2465535
PAST SALE,January-27-2025,Single Family Residential,783 Midway St,La Jolla,CA,92037,2400000,3,2.0,La Jolla,1728,,1948,,1389,,Sold,,,https://www.redfin.com/CA/La-Jolla/783-Midway-St-92037/home/4938203,SDMLS,240028012,N,Y,32.8133863,-117.2627597
PAST SALE,December-27-2024,Single Family Residential,5739 Caminito Empresa,La Jolla,CA,92037,1870000,3,2.5,La Jolla,2593,,1986,,721,684,Sold,,,https://www.redfin.com/CA/La-Jolla/5739-Caminito-Empresa-92037/home/4945322,SDMLS,240027303,N,Y,32.8192467,-117.2500598
PAST SALE,March-6-2025,Condo/Co-op,7129 Fay,La Jolla,CA,92037,3125000,3,3.5,La Jolla,3778,,2003,,827,525,Sold,,,https://www.redfin.com/CA/La-Jolla/7129-Fay-Ave-92037/home/6544942,SDMLS,250018869,N,Y,32.8357632,-117.2716446
PAST SALE,February-4-2025,Single Family Residential,7905 Paseo Del Ocaso,La Jolla,CA,92037,3979130,3,2.0,La Jolla,2113,7294,1958,,1883,,Sold,,,https://www.redfin.com/CA/La-Jolla/7905-Paseo-del-Ocaso-92037/home/4878146,SDMLS,250000525,N,Y,32.8509737,-117.2556135
PAST SALE,February-27-2025,Single Family Residential,322 Forward St,La Jolla,CA,92037,3120000,2,1.5,La Jolla,1500,4386,1953,,2080,,Sold,,,https://www.redfin.com/CA/La-Jolla/322-Forward-St-92037/home/4935842,CRMLS,SW25009187,N,Y,32.8136646,-117.2711709
PAST SALE,January-29-2025,Single Family Residential,5453 Avenida Fiesta,La Jolla,CA,92037,2575000,4,2.0,La Jolla,2008,10400,1962,,1282,,Sold,,,https://www.redfin.com/CA/La-Jolla/5453-Avenida-Fiesta-92037/home/4940789,SDMLS,240028448,N,Y,32.8195606,-117.2322201
PAST SALE,February-21-2025,Condo/Co-op,8860 Villa La Jolla Dr #311,San Diego,CA,92037,800000,2,2.0,92123 - San Diego,1243,,1983,,644,806,Sold,,,https://www.redfin.com/CA/La-Jolla/8860-Villa-La-Jolla-Dr-92037/unit-311/home/4867268,CRMLS,PTP2500439,N,Y,32.8698637,-117.2358714
PAST SALE,January-15-2025,Single Family Residential,8695 Cliffridge,La Jolla,CA,92037,3100000,4,4.5,La Jolla,3727,9300,1990,,832,,Sold,,,https://www.redfin.com/CA/La-Jolla/8695-Cliffridge-Ave-92037/home/4865297,SDMLS,240027933,N,Y,32.8648583,-117.2424164
PAST SALE,February-11-2025,Condo/Co-op,2600 Torrey Pines Rd Unit B38,La Jolla,CA,92037,894000,2,2.0,La Jolla,1102,117096,1966,,811,649,Sold,,,https://www.redfin.com/CA/La-Jolla/2600-Torrey-Pines-Rd-92037/unit-B38/home/4879253,SDMLS,240028424,N,Y,32.8517712,-117.2478162
PAST SALE,February-25-2025,Single Family Residential,6699 Via Estrada,La Jolla,CA,92037,4500000,4,2.5,La Jolla,2665,19800,1970,,1689,,Sold,,,https://www.redfin.com/CA/La-Jolla/6699-Via-Estrada-92037/home/4923232,SDMLS,250017407,N,Y,32.8324981,-117.2552345
PAST SALE,February-14-2025,Single Family Residential,225 Via Del Norte,La Jolla,CA,92037,7621219,4,4.0,La Jolla,3495,7828,1949,,2181,,Sold,,,https://www.redfin.com/CA/La-Jolla/225-Via-del-Norte-92037/home/4933166,SDMLS,250017395,N,Y,32.8223446,-117.279086
PAST SALE,January-23-2025,Single Family Residential,2871 Caminito Merion,La Jolla,CA,92037,2298000,4,2.5,San Diego,3009,,1977,,764,632,Sold,,,https://www.redfin.com/CA/La-Jolla/2871-Caminito-Merion-92037/home/4925657,SDMLS,240028456,N,Y,32.8380899,-117.2396931
PAST SALE,January-15-2025,Condo/Co-op,3110 Via Alicante Unit J,La Jolla,CA,92037,575000,1,1.0,La Jolla,691,196571,1972,,832,330,Sold,,,https://www.redfin.com/CA/La-Jolla/3110-Via-Alicante-92037/unit-J/home/4885549,SDMLS,240028377,N,Y,32.8628153,-117.235265
PAST SALE,February-14-2025,Single Family Residential,7850 Torrey Ln,La Jolla,CA,92037,3150000,3,3.0,La Jolla,2198,,1958,,1433,,Sold,,,https://www.redfin.com/CA/La-Jolla/7850-Torrey-Ln-92037/home/4907393,SDMLS,250001345,N,Y,32.8478151,-117.2629321
PAST SALE,March-6-2025,Townhouse,4006 La Jolla Village Dr,La Jolla,CA,92037,1065000,2,2.5,La Jolla,1708,142258,1977,,624,514,Sold,,,https://www.redfin.com/CA/La-Jolla/4006-La-Jolla-Village-Dr-92037/home/6404713,SDMLS,250016881,N,Y,32.871106,-117.220325
PAST SALE,January-10-2025,Single Family Residential,7134 Olivetas Ave,La Jolla,CA,92037,2750000,2,1.5,92037 - La Jolla,1426,5059,1923,,1928,,Sold,,,https://www.redfin.com/CA/La-Jolla/7134-Olivetas-Ave-92037/home/4914364,CRMLS,PTP2407315,N,Y,32.8346771,-117.2785902
PAST SALE,February-21-2025,Single Family Residential,2331 Calle Corta,La Jolla,CA,92037,2815000,3,2.0,La Jolla,1586,,1953,,1775,,Sold,,,https://www.redfin.com/CA/La-Jolla/2331-Calle-Corta-92037/home/4875965,SDMLS,250001141,N,Y,32.8608493,-117.2523813
PAST SALE,January-15-2025,Condo/Co-op,6455 La Jolla Blvd Unit 243,La Jolla,CA,92037,869000,2,2.0,La Jolla,989,,1970,,879,446,Sold,,,https://www.redfin.com/CA/La-Jolla/6455-La-Jolla-Blvd-92037/unit-243/home/4919409,SDMLS,240025616,N,Y,32.8259408,-117.2761999
PAST SALE,January-30-2025,Timeshare,442 Westbourne St Unit C,La Jolla,CA,92037,1045000,4,4.5,La Jolla,3663,,2024,,285,,Sold,,,https://www.redfin.com/CA/La-Jolla/442-Westbourne-St-92037/unit-C/home/194099597,SDMLS,250000098,N,Y,32.8327577,-117.2777085
PAST SALE,December-24-2024,Single Family Residential,714 Bonair Way,La Jolla,CA,92037,2475000,3,2.5,La Jolla,1855,6180,2006,,1334,,Sold,,,https://www.redfin.com/CA/La-Jolla/714-Bonair-Way-92037/home/11320471,SDMLS,240024987,N,Y,32.8319584,-117.2736064
PAST SALE,January-31-2025,Condo/Co-op,3252 Caminito Ameca,La Jolla,CA,92037,1150000,3,2.5,La Jolla,1500,234971,1978,,767,445,Sold,,,https://www.redfin.com/CA/La-Jolla/3252-Caminito-Ameca-92037/home/4881772,CRMLS,PW25002037,N,Y,32.855779,-117.234589
PAST SALE,December-18-2024,Condo/Co-op,356 Playa Del Norte #7,La Jolla,CA,92037,1075000,2,2.0,92037 - La Jolla,955,,1967,,1126,470,Sold,,,https://www.redfin.com/CA/La-Jolla/356-Playa-del-Norte-92037/unit-7/home/4916274,CRMLS,NDP2408623,N,Y,32.8299619,-117.2782204
PAST SALE,February-7-2025,Single Family Residential,8463 El Paseo Grande,La Jolla,CA,92037,4575000,3,2.0,La Jolla,1884,5820,1965,,2428,,Sold,,,https://www.redfin.com/CA/La-Jolla/8463-El-Paseo-Grande-92037/home/4874677,SDMLS,240019943,N,Y,32.8600478,-117.2549823
PAST SALE,January-30-2025,Single Family Residential,838 Forward,La Jolla,CA,92037,5425000,5,4.0,La Jolla,5787,14375,2004,,937,,Sold,,,https://www.redfin.com/CA/La-Jolla/838-Forward-St-92037/home/4937361,SDMLS,240028337,N,Y,32.8153341,-117.2637463
PAST SALE,February-14-2025,Condo/Co-op,8640 Via Mallorca Unit B,La Jolla,CA,92037,620000,1,1.0,La Jolla,691,,1972,,897,349,Sold,,,https://www.redfin.com/CA/La-Jolla/8640-Via-Mallorca-92037/unit-B/home/4884408,SDMLS,240028545,N,Y,32.8636477,-117.2344565
